scope_item_prefix,module,module_name_ja,business_domain,product
16R,TR,資金管理,財務,SAP
16T,FI,財務会計,財務,SAP
18J,OTHER,その他,その他,SAP
19E,MM,購買管理,購買,SAP
1A8,PS,プロジェクト管理,プロジェクト,SAP
1B6,SD,販売管理,販売,SAP
1BM,SD,販売管理,販売,SAP
1BS,SD,販売管理,販売,SAP
1E1,PP,生産管理,生産,SAP
1E3,MM,購買管理,購買,SAP
1EG,TR,資金管理,財務,SAP
1EZ,OTHER,その他,その他,SAP
1F1,OTHER,その他,その他,SAP
1FM,MM,購買管理,購買,SAP
1GA,FI,財務会計,財務,SAP
1GB,FI,財務会計,財務,SAP
1GF,FI,財務会計,財務,SAP
1GO,OTHER,その他,その他,SAP
1GP,FI,財務会計,財務,SAP
1HB,OTHER,その他,その他,SAP
1HO,SD,販売管理,販売,SAP
1IL,PS,プロジェクト管理,プロジェクト,SAP
1IQ,SD,販売管理,販売,SAP
1IU,SD,販売管理,販売,SAP
1J2,GRC,ガバナンス,ガバナンス,SAP
1JI,MM,購買管理,購買,SAP
1JW,OTHER,その他,その他,SAP
1K2,SD,販売管理,販売,SAP
1KA,OTHER,その他,その他,SAP
1LQ,OTHER,その他,その他,SAP
1M1,OTHER,その他,その他,SAP
1MC,SD,販売管理,販売,SAP
1MI,SD,販売管理,販売,SAP
1MN,GRC,ガバナンス,ガバナンス,SAP
1MP,SD,販売管理,販売,SAP
1MR,EWM,倉庫管理,物流,SAP
1MV,OTHER,その他,その他,SAP
1MX,SD,販売管理,販売,SAP
1N1,OTHER,その他,その他,SAP
1N3,OTHER,その他,その他,SAP
1N5,OTHER,その他,その他,SAP
1N7,GRC,ガバナンス,ガバナンス,SAP
1NJ,OTHER,その他,その他,SAP
1NL,HCM,人事管理,人事,SAP
1NT,PS,プロジェクト管理,プロジェクト,SAP
1O0,SD,販売管理,販売,SAP
1P0,PS,プロジェクト管理,プロジェクト,SAP
1P7,OTHER,その他,その他,SAP
1P9,FI,財務会計,財務,SAP
1Q4,OTHER,その他,その他,SAP
1QM,SD,販売管理,販売,SAP
1QR,MM,購買管理,購買,SAP
1RK,OTHER,その他,その他,SAP
1RM,OTHER,その他,その他,SAP
1RO,OTHER,その他,その他,SAP
1RY,OTHER,その他,その他,SAP
1S0,FI,財務会計,財務,SAP
1S2,OTHER,その他,その他,SAP
1S4,OTHER,その他,その他,SAP
1SG,FI,財務会計,財務,SAP
1T6,FI,財務会計,財務,SAP
1VP,SD,販売管理,販売,SAP
1W4,OTHER,その他,その他,SAP
1W8,OTHER,その他,その他,SAP
1WA,OTHER,その他,その他,SAP
1WC,OTHER,その他,その他,SAP
1WE,OTHER,その他,その他,SAP
1WO,SD,販売管理,販売,SAP
1WQ,OTHER,その他,その他,SAP
1WV,FI,財務会計,財務,SAP
1X1,GRC,ガバナンス,ガバナンス,SAP
1X3,TR,資金管理,財務,SAP
1X7,FI,財務会計,財務,SAP
1X9,FI,財務会計,財務,SAP
1XB,FI,財務会計,財務,SAP
1XD,FI,財務会計,財務,SAP
1XF,OTHER,その他,その他,SAP
1XI,OTHER,その他,その他,SAP
1XN,OTHER,その他,その他,SAP
1XV,OTHER,その他,その他,SAP
1Y2,OTHER,その他,その他,SAP
1Y5,PP,生産管理,生産,SAP
1YB,BASIS,システム基盤,基盤,SAP
1YF,PS,プロジェクト管理,プロジェクト,SAP
1YI,FI,財務会計,財務,SAP
1YT,SD,販売管理,販売,SAP
1Z1,SD,販売管理,販売,SAP
1Z3,SD,販売管理,販売,SAP
1Z6,SD,販売管理,販売,SAP
1ZQ,EWM,倉庫管理,物流,SAP
1ZT,EWM,倉庫管理,物流,SAP
20N,ANA,分析,分析,SAP
21D,PP,生産管理,生産,SAP
21P,FI,財務会計,財務,SAP
21Q,FI,財務会計,財務,SAP
21R,PS,プロジェクト管理,プロジェクト,SAP
21T,PP,生産管理,生産,SAP
22K,MM,購買管理,購買,SAP
22P,OTHER,その他,その他,SAP
22T,BASIS,システム基盤,基盤,SAP
22Z,MM,購買管理,購買,SAP
24F,OTHER,その他,その他,SAP
24H,OTHER,その他,その他,SAP
24J,GRC,ガバナンス,ガバナンス,SAP
28B,ANA,分析,分析,SAP
2AR,OTHER,その他,その他,SAP
2BE,SD,販売管理,販売,SAP
2BG,SD,販売管理,販売,SAP
2BI,FI,財務会計,財務,SAP
2BK,FI,財務会計,財務,SAP
2DP,FI,財務会計,財務,SAP
2EJ,MM,購買管理,購買,SAP
2EL,SD,販売管理,販売,SAP
2EM,OTHER,その他,その他,SAP
2EQ,SD,販売管理,販売,SAP
2ET,SD,販売管理,販売,SAP
2F2,FI,財務会計,財務,SAP
2F4,SD,販売管理,販売,SAP
2F5,OTHER,その他,その他,SAP
2F9,MM,購買管理,購買,SAP
2FA,SD,販売管理,販売,SAP
2FD,SD,販売管理,販売,SAP
2FM,ANA,分析,分析,SAP
2HU,FI,財務会計,財務,SAP
2I3,FI,財務会計,財務,SAP
2KF,SD,販売管理,販売,SAP
2KH,ANA,分析,分析,SAP
2LG,MM,購買管理,購買,SAP
2LH,SD,販売管理,販売,SAP
2LN,OTHER,その他,その他,SAP
2LZ,OTHER,その他,その他,SAP
2MB,MM,購買管理,購買,SAP
2ME,MM,購買管理,購買,SAP
2NV,OTHER,その他,その他,SAP
2NX,MM,購買管理,購買,SAP
2NY,MM,購買管理,購買,SAP
2NZ,TR,資金管理,財務,SAP
2O0,TR,資金管理,財務,SAP
